pass_id,labez,lesart
1,a,χριστου
1,b,""
2,a,υιου του θεου
2,b,υιου θεου
2,c,υιου του κυριου
2,d,του υιου του θεου
2,e,του θεου
2,f,""
3,a,καθως
3,b,ως
4,a,τω ησαια τω προφητη
4,b,ησαια τω προφητη
4,c,βιβλω λογων ησαιου του προφητου
4,e,τοις προφηταις
5,a,εγω
5,b,""
6,a,αποστελλω
6,b,αποστελω
7,a,σου
7,b,""
8,a,ος
8,b,ως
9,a,κατασκευασει
9,b,κατασκευασοι
9,c,κατασκευασω
10,a,την οδον
10,b,τας οδους
11,a,""
11,b,εμπροσθεν σου
12,a,φωνη βοωντος εν τη ερημω ετοιμασατε την οδον κυριου ευθειας ποιειτε τας τριβους αυτου
12,b,""
13,a,τη
13,b,""
13,zu,""
14,a,""
14,b,του
14,zu,""
15,a,αυτου
15,b,του θεου υμων
15,zu,""
16,a,""
16,b,πασα φαραγξ πληρωθησεται και παν ορος και βουνος ταπεινωθησεται και εσται παντα τα σκολια εις ευθειαν και η τραχεια εις πεδιον και οφθησεται η δοξα κυριου και οψεται πασα σαρξ το σωτηριον του θεου οτι κυριος ελαλησεν φωνη λεγοντος βοησον και ειπα τι βοησω οτι πασα σαρξ χορτος και πασα η δοξα αυτης ως ανθος χορτου εξηρανθη ο χορτος και το ανθος εξεπεσεν το δε ρημα κυριου μενει εις τον αιωνα (Is 40:4-8)
16,zu,""
17,a,""
17,b,και
18,a,""
18,b,ο
19,a,""
19,b,ο
20,a,βαπτιζων εν τη ερημω
20,b,εν τη ερημω βαπτιζων
20,c,βαπτιζων εν ερημω
21,a,""
21,b,της ιουδαιας
22,a,και
22,b,""
23,a,μετανοιας
23,b,""
24,a,εις αφεσιν αμαρτιων
24,b,""
25,a,εξεπορευετο
25,b,εξεπορευοντο
25,c,ενεπορευετο
26,a,η ιουδαια
26,b,ιουδαια
26,c,η ιουδαιων
26,d,ιουδαιων
27,a,οι ιεροσολυμιται
27,b,ιεροσολυμιται
27,c,ιερουσαλημ
28,a,παντες και εβαπτιζοντο υπ αυτου εν τω ιορδανη ποταμω
28,b,παντες και εβαπτιζοντο εν τω ιορδανη ποταμω υπ αυτου
28,c,και παντες εβαπτιζοντο εν τω ιορδανη ποταμω υπ αυτου
28,d,και εβαπτιζοντο παντες υπ αυτου εν τω ιορδανη ποταμω
28,e,και εβαπτιζοντο παντες εν τω ιορδανη ποταμω υπ αυτου
28,g,παντες και εβαπτιζοντο παντες εν τω ιορδανη ποταμω υπ αυτου
28,h,παντες εβαπτιζοντο υπ αυτου εν τω ιορδανη ποταμω
28,i,παντες και εβαπτιζοντο εν τω ιορδανη υπ αυτου
28,j,και εβαπτιζοντο παντες εν τω ιορδανη υπ αυτου
28,k,παντες και εβαπτιζοντο εις τον ιορδανην υπ αυτου
28,l,και παντες εβαπτιζοντο εις τον ιορδανην υπ αυτου
28,m,και εβαπτιζοντο παντες εν τω ιορδανη ποταμω
28,n,παντες και εβαπτιζοντο εν ιορδανη υπ αυτου
28,o,και εβαπτιζοντο εν τω ιορδανη ποταμω υπ αυτου
28,p,εβαπτιζοντο εν τω ιορδανη ποταμω υπ αυτου
28,q,και εβαπτιζοντο εν τω ιορδανη υπ αυτου
28,r,και εβαπτιζοντο εν τω ιορδανη ποταμω
29,a,""
29,b,και
30,a,αυτων
30,b,αυτου
31,a,και ην ο ιωαννης
31,b,και ην ιωαννης
31,c,ην δε ο ιωαννης
31,d,ο δε ιωαννης ην
31,e,ην δε και ιωαννης
31,f,ην δε ιωαννης
31,g,ην ο ιωαννης
32,a,ενδεδυμενος
33,a,τριχας
33,b,δερριν
34,a,και ζωνην δερματινην περι την οσφυν αυτου
34,b,""
35,a,ζωνην δερματινην
35,b,ζωνη δερματινη
35,zu,""
36,a,αυτου
36,b,""
36,zu,""
37,a,και
37,b,""
38,a,""
38,b,ην
39,a,εσθιων ακριδας και μελι αγριον
139,b,εκειθεν ολιγον
39,b,ακριδας και μελι αγριον εσθιων
39,c,εσθιων ακριδας μελι αγριον
40,a,εκηρυσσεν λεγων
40,b,εκηρυσσεν
40,c,ελεγεν αυτοις
41,a,""
41,b,οτι
42,a,ερχεται
42,b,εγω μεν υμας βαπτιζω εν υδατι ερχεται δε (cf. 8/2-9b)
